pid,paleo_lat,paleo_lon,mod_lat,mod_lon,depth,mean,std
DSDP237,-8.441799361726844,56.22199341738536,-7.08,58.120000000000005,1623.0,1.6155000000000002,0.1701539550555691
DSDP289,-3.091453566018605,169.1754891769068,-0.5,158.51,2224.0,1.3746153846153848,0.20903011683389006
DSDP317,-14.984350274097308,208.321919059461,-11.0,197.74,2598.0,1.5717857142857141,0.22065648804031512
DSDP408,61.17813436890922,334.36009631953107,63.38,331.09,1624.0,0.7333333333333334,0.04163331998932268
DSDP563,31.70503844271395,318.9405547334082,33.64,316.23852040816325,3786.0,1.406969696969697,0.24231287688241065
DSDP574,0.3434672456214055,237.3841453631066,4.21,226.67,4561.0,1.3396954314720813,0.21769176071478616
DSDP588,-32.235423442309404,159.66401158601877,-26.11,161.23000000000002,1533.0,1.2722727272727274,0.31306369073860124
DSDP590,-37.10045270825957,162.49820094708525,-31.17,163.36,1533.0,1.0235294117647058,0.25322769340236534
DSDP591,-37.41587528762778,163.7128768752649,-31.579999999999995,164.45000000000005,2131.0,1.26875,0.34290716832250173
DSDP608,41.14476804972882,334.8002595893574,42.84,336.91,3526.0,1.1258333333333332,0.20663795010656305
DSDP667,2.808508297058134,336.0499821628485,4.57,338.09,3529.0,1.45075,0.24782528481749358
NGHP-01-01A,10.610027484111642,66.63405779880475,15.300000000000002,70.89999999999998,2663.0,1.530888888888889,0.5950470654502968
ODP1146,21.14394186960939,114.47121902025992,19.46,116.26999999999998,2091.0,1.0490220820189275,0.2900596269551129
ODP1171,-55.37281399105653,149.0554693624377,-48.5,149.11,2150.0,1.336810344827586,0.2085069958980004
ODP1237,-19.026465280816648,271.6526386962173,-16.01,283.62,3212.0,1.4326068376068377,0.2482393783546881
ODP704,-48.89483632783319,5.4349270330445165,-46.88,7.420000000000016,2541.0,1.055,0.17677669529663675
ODP744,-60.580976827447,79.93678640872832,-61.57,80.60000000000002,2317.0,1.847777777777778,0.23445563427745655
ODP747,-53.86453634782088,75.96526731325469,-54.81000000000001,76.79000000000002,1695.0,1.586891891891892,0.5466430271201662
ODP761,-24.124137589851145,110.9552918305614,-16.74,115.54000000000002,2179.0,1.3142528735632184,0.15349897495232356
ODP806,-2.3187510572114407,170.0696983154487,0.32,159.36,2519.0,1.273939393939394,0.26239211347165375
U1336,3.9570921236711674,242.3525551535687,7.699999999999999,231.75,4286.0,1.5328855721393035,0.19760974632035752
U1337,0.2415473368320479,247.48593172349467,3.830000000000001,236.79,4476.0,1.3361851851851851,0.27071928474477797
U1338,-0.8891051957328173,252.76212103491588,2.51,242.03000000000003,4210.0,1.4489405204460966,0.2343503882289153
