,CO2,density,dBWT,dGMST,dGMSST
0,1.5,0.0017217999723129838,3.490104709929385,5.057218621590316,4.176863067584641
1,1.502085056571313,0.0018227567527185054,3.497579229438653,5.065250989829175,4.183487214188921
2,1.5041730114498966,0.0019285653156273157,3.5050537489479203,5.073283358068034,4.1901113607932015
3,1.506263868664507,0.0020394182408168967,3.512528268457188,5.081315726306894,4.196735507397483
4,1.5083576322495005,0.0021555155444882555,3.5200027879664555,5.089348094545753,4.203359654001763
5,1.510454306244842,0.002277065011276099,3.5274773074757233,5.097380462784612,4.209983800606043
6,1.512553894696111,0.0024042825337648364,3.5349518269849907,5.105412831023471,4.216607947210323
7,1.514656401654512,0.00253739245882636,3.5424263464942585,5.113445199262331,4.2232320938146035
8,1.5167618311768796,0.002676627940090158,3.5499008660035263,5.12147756750119,4.229856240418885
9,1.5188701873256876,0.0028222312958599,3.5573753855127936,5.129509935740049,4.236480387023165
10,1.5209814741690577,0.002974454371801141,3.5648499050220614,5.137542303978908,4.243104533627445
11,1.5230956957807653,0.0031335589077431877,3.572324424531329,5.145574672217767,4.249728680231725
12,1.5252128562402496,0.0032998169079639754,3.5797989440405966,5.1536070404566265,4.256352826836006
13,1.5273329596326195,0.003473511014357701,3.587273463549864,5.1616394086954855,4.262976973440287
14,1.529456010048663,0.003654934881923469,3.594747983059132,5.1696717769343445,4.269601120044567
15,1.531582011584854,0.003844393556054809,3.6022225025683996,5.1777041451732035,4.276225266648847
16,1.5337109683433605,0.004042203851157165,3.609697022077667,5.185736513412063,4.282849413253127
17,1.5358428844320533,0.0042486947301703885,3.6171715415869348,5.193768881650922,4.289473559857408
18,1.537977763964513,0.004464207684625402,3.624646061096202,5.201801249889781,4.296097706461689
19,1.540115611060038,0.004689097114918919,3.63212058060547,5.20983361812864,4.302721853065969
20,1.5422564298436532,0.0049237307105440145,3.6395951001147377,5.217865986367499,4.309345999670249
21,1.5444002244461168,0.005168489830069459,3.647069619624005,5.225898354606359,4.3159701462745295
22,1.5465469990039293,0.0054237698807138865,3.654544139133273,5.233930722845218,4.32259429287881
23,1.5486967576593411,0.005689980697411807,3.6620186586425403,5.241963091084077,4.329218439483091
24,1.5508495045603603,0.005967546921318287,3.669493178151808,5.249995459322936,4.335842586087371
25,1.553005243860761,0.0062569083777432605,3.6769676976610755,5.258027827561795,4.342466732691651
26,1.5551639797200916,0.006558520453548768,3.6844422171703433,5.266060195800655,4.3490908792959315
27,1.5573257163036816,0.006872854474078297,3.6919167366796106,5.274092564039514,4.355715025900212
28,1.5594904577826507,0.007200398079720024,3.6993912561888784,5.282124932278373,4.362339172504493
29,1.5616582083339172,0.0075416556022310285,3.7068657756981462,5.290157300517232,4.368963319108773
30,1.563828972140205,0.007897148440970779,3.7143402952074136,5.298189668756092,4.375587465713053
31,1.5660027533900522,0.008267415439206597,3.7218148147166814,5.306222036994951,4.382211612317334
32,1.568179556277819,0.008653013260662638,3.7292893342259488,5.31425440523381,4.388835758921614
33,1.5703593850036963,0.009054516766486425,3.7367638537352166,5.322286773472669,4.395459905525895
34,1.572542243773713,0.009472519392803322,3.7442383732444844,5.330319141711528,4.402084052130175
35,1.574728136799745,0.009907633529021674,3.7517128927537517,5.338351509950388,4.408708198734455
36,1.5769170682995224,0.010360490897034964,3.7591874122630196,5.346383878189247,4.415332345338736
37,1.579109042496638,0.010831742931448528,3.766661931772287,5.354416246428106,4.421956491943016
38,1.5813040636205564,0.011322061160934557,3.7741364512815547,5.362448614666965,4.428580638547297
39,1.5835021359066204,0.01183213759078722,3.781610970790822,5.370480982905825,4.435204785151577
40,1.5857032635960608,0.012362685086719982,3.78908549030009,5.378513351144684,4.4418289317558575
41,1.5879074509360032,0.012914437759907462,3.7965600098093573,5.386545719383543,4.448453078360138
42,1.5901147021794773,0.01348815135323666,3.804034529318625,5.394578087622402,4.455077224964418
43,1.5923250215854245,0.014084603628687731,3.811509048827893,5.402610455861261,4.461701371568699
44,1.5945384134187064,0.014704594755722162,3.8189835683371602,5.410642824100121,4.468325518172979
45,1.5967548819501132,0.015348947700508748,3.826458087846428,5.41867519233898,4.4749496647772595
46,1.5989744314563705,0.016018508615770807,3.8339326073556954,5.426707560577839,4.48157381138154
47,1.6011970662201505,0.0167141472309919,3.841407126864963,5.434739928816698,4.48819795798582
48,1.6034227905300769,0.01743675724266619,3.848881646374231,5.442772297055557,4.494822104590101
49,1.6056516086807355,0.0181872567042366,3.8563561658834984,5.450804665294417,4.501446251194381
50,1.6078835249726817,0.018966588415312496,3.863830685392766,5.458837033533276,4.508070397798662
51,1.6101185437124486,0.01977572030971597,3.8713052049020336,5.466869401772135,4.514694544402942
52,1.6123566692125557,0.02061564584185954,3.8787797244113014,5.474901770010994,4.521318691007222
53,1.614597905791517,0.021487384370915352,3.8862542439205687,5.4829341382498535,4.527942837611503
54,1.6168422577738497,0.02239198154219578,3.8937287634298365,5.4909665064887125,4.534566984215783
55,1.619089729490082,0.023330509665123574,3.9012032829391043,5.4989988747275715,4.541191130820064
56,1.6213403252767609,0.024304068087135734,3.9086778024483717,5.5070312429664305,4.547815277424344
57,1.6235940494764631,0.025313783562829126,3.9161523219576395,5.51506361120529,4.554439424028624
58,1.6258509064378002,0.02636081061761962,3.923626841466907,5.523095979444149,4.561063570632905
59,1.6281109005154293,0.0274463319051647,3.9311013609761747,5.531128347683008,4.5676877172371855
60,1.63037403607006,0.028571558557761126,3.938575880485442,5.539160715921867,4.574311863841466
61,1.632640317468464,0.029737730528912907,3.94605039999471,5.547193084160726,4.580936010445746
