,dGMST,dGMSST,dBWT,BWT,BWd18Osw
3x,9.065370372781054,7.482312223120566,7.219889945053927,8.063045706912035,-0.1610603339625886
1.5x,5.057218621590316,4.176863067584641,3.490104709929385,4.333260471787493,-0.1368095422915002
