pid,paleo_lat,paleo_lon,mod_lat,mod_lon,depth,TEMP (1.5x),d18Osw (1.5x),TEMP (3x),d18Osw (3x),TEMP (PI),d18Osw (PI),d18Ob (1.5x),d18Ob (3x),d18Ob (PI)
DSDP237,-10.029672548553416,56.40989117801581,-7.08,58.120000000000005,1623.0,9.094732,-0.013931632,12.477077,-0.014059901,4.655597,0.0002485439,1.3131945291046407,0.564651531422215,2.193469271375299
DSDP289,-4.141907685062333,169.34267699811778,-0.5,158.51,2224.0,7.765707,-0.031277776,11.551501,-0.0200122,2.773253,-0.07357365,1.5968108313217242,0.7610008878189428,2.565439400088248
DSDP317,-14.30224002928091,208.98980060643711,-11.0,197.74,2598.0,7.1650505,-0.06079817,10.889712,-0.06055361,2.1379852,-0.072023384,1.7045862013408488,0.8662612861050495,2.719198313427041
DSDP360,-37.8963760683649,14.821023526371789,-35.84,18.089999999999975,2949.0,6.841424,-0.09693998,10.359415,-0.12602681,4.240373,0.11541614,1.7427467322794976,0.9183157307702062,2.406303562136871
DSDP408,62.67711560193642,338.3534815939002,63.38,331.09,1624.0,11.268418,0.121935785,14.822666,0.15798861,6.7650013,0.2659712,0.9651982747403588,0.23246797223900587,1.968887662618105
DSDP525,-30.502448110866474,359.8360893652723,-29.07,2.990000000000009,2467.0,8.068114,-0.023041785,11.49339,-0.025673628,5.0456896,0.16349691,1.536224131316087,0.7681036189028408,2.2653078454365216
DSDP526,-31.557837521701533,359.92392330191655,-30.120000000000005,3.1399999999999864,1054.0,11.242882,0.12740564,14.5829935,0.14696884,5.6254883,0.0023979235,0.9762922382769345,0.2724155018434312,1.9689640248339626
DSDP553,55.90696200262017,337.3859390795583,56.089999999999996,336.65999999999997,2329.0,8.703961,0.0140707195,12.251659,0.017810702,5.3359046,0.2259534,1.4292850211775048,0.6456176246414932,2.2599758392368243
DSDP555,56.32149298395134,339.96270411050943,56.56000000000001,339.21999999999997,1659.0,11.56775,0.15597057,15.057688,0.19497764,6.533935,0.25185806,0.9334159525191649,0.21960149677831833,2.0080055016817293
DSDP563,33.68148166934817,320.28616322254265,33.64,316.23852040816325,3786.0,6.0052605,-0.12561673,9.675837,-0.13216758,3.7449267,0.11129734,1.9071139248069882,1.0645864588100586,2.519217223405942
DSDP574,2.135849036159023,237.36248089954523,4.21,226.66999999999996,4561.0,4.7817016,-0.17304242,8.632823,-0.20723051,1.2849405,-0.07806528,2.1449418368943425,1.2240560550825013,2.918940477757145
DSDP588,-33.90565898312206,161.66428819481962,-26.11,161.23000000000002,1533.0,9.640626,0.012661755,13.025451,0.02231282,4.31942,-0.07811455,1.2172942320913083,0.4820559995873487,2.1941507139864553
DSDP590,-38.66489491620327,164.8158723388359,-31.17,163.36,1533.0,9.294071,0.008011818,12.756431,0.014344156,4.2352386,-0.0783847,1.2903321099090546,0.5323678269842923,2.2137128274522575
DSDP591,-38.93533805483474,166.07375516623267,-31.579999999999995,164.45000000000005,2131.0,7.838153,-0.035351694,11.506614,-0.02920562,3.4521246,-0.06946633,1.5762311541587464,0.7616663910416118,2.407872024602882
DSDP608,42.59818934630013,336.9502669269734,42.84,336.91,3526.0,6.472161,-0.09418672,10.140369,-0.1181618,3.9454587,0.119669266,1.830561628994262,0.9749074967983685,2.4801552050106497
DSDP667,4.31848255350308,336.64999155728486,4.57,338.09,3529.0,6.296097,-0.10017812,9.899551,-0.1277262,3.7988768,0.08482613,1.865233079479704,1.0190349413453368,2.4799759310305065
NGHP-01-01A,8.82089685733619,67.45164644912495,15.300000000000002,70.89999999999998,2663.0,7.123248,-0.093767524,10.63173,-0.11935741,2.7184594,-0.034199793,1.6812014215136177,0.8645557763276951,2.6179066854765316
ODP1088,-43.01218745959084,9.817329688879568,-41.14000000000001,13.560000000000002,2082.0,8.1591,-0.02560246,11.57022,-0.03790617,4.614449,0.082668915,1.512996139803882,0.7389969214488813,2.2855513582384996
ODP1092,-47.95893560055416,2.908980743536631,-46.41,7.069999999999993,1972.9,7.511937,-0.061234415,10.984515,-0.0877651,4.168348,0.04440657,1.6247631053532778,0.818104212159675,2.352273986832549
ODP1146,18.774394535743063,114.79055594078585,19.459999999999997,116.26999999999998,2091.0,7.452798,-0.060954034,11.235791,-0.05509633,2.3710752,-0.11132581,1.6385590987160619,0.7953521306195238,2.623944976680734
ODP1171,-57.36257943715192,152.26493898750823,-48.5,149.11,2150.0,7.042529,-0.09417558,10.489756,-0.12383789,3.838007,0.007603515,1.699311729663884,0.8915604527945699,2.3934951337687567
ODP1237,-16.598224711579796,272.04650733914184,-16.01,283.62,3212.0,7.2046266,-0.035861492,10.956365,-0.0512107,2.235821,-0.06210082,1.720452308850588,0.8608760823153555,2.7056218177706413
ODP704,-48.44309563613261,3.2244921288083788,-46.88,7.420000000000016,2541.0,6.5681996,-0.11122477,10.104084,-0.1314699,3.4890165,0.041119706,1.7913716900720615,0.969681276132892,2.50970121532917
ODP714,-1.5730546888590975,69.65801525570879,5.06,73.77999999999997,2041.0,8.164022,-0.03388965,11.6002035,-0.053126395,3.8453488,-0.008712599,1.5035912382530932,0.7171949380223966,2.3754423148021617
ODP744,-62.79847061229415,78.51677052105447,-61.57,80.60000000000002,2317.0,5.9334035,-0.13907045,9.466666,-0.17900467,2.1529906,-0.06633995,1.9103214979052114,1.064591652800666,2.721276265992937
ODP747,-56.00854754352077,74.77506477707266,-54.81000000000001,76.79000000000002,1695.0,6.677594,-0.109825015,10.191179,-0.13132155,3.221863,0.00617294,1.7675637001451219,0.9504356766120042,2.538234938977429
ODP761,-26.716960923870804,111.67568729989353,-16.74,115.54000000000002,2179.0,7.800665,-0.058977365,11.273766,-0.07440549,3.295458,-0.026343295,1.5611451437815913,0.767679514466895,2.488215523786179
ODP806,-3.3330045448780727,170.2050772935669,0.32,159.36,2519.0,7.418731,-0.047044575,11.222903,-0.034527242,2.4158497,-0.073833495,1.6602576077802484,0.8187603742980015,2.6507032943067355
ODP926,4.173619076084016,320.0995196141496,3.7000000000000006,317.1,3610.0,6.3570013,-0.0943895,9.968825,-0.12432456,3.805581,0.08840266,1.8569477942784456,1.0069784579995122,2.4819659831560505
ODP982,57.16618930011109,344.91819646951944,57.51,344.15,1134.0,13.215576,0.24155372,16.743492,0.30116507,7.651577,0.27498472,0.6602041606128214,-0.028261515425966527,1.774749646961682
U1336,5.901546091606077,242.22506482549704,7.699999999999999,231.75,4286.0,5.0872893,-0.1479994,8.938335,-0.19677311,1.2952789,-0.078302436,2.0984332715072056,1.1655679346609205,2.9161997544427485
U1337,2.330998838818147,247.4704663628056,3.830000000000001,236.79000000000002,4476.0,5.0703917,-0.14850521,8.921528,-0.19731188,1.3368298,-0.07812094,2.1018785923445598,1.1688168208136496,2.906321589342286
U1338,1.3305309511264982,252.77549048314032,2.51,242.03000000000003,4210.0,6.2401934,-0.102151334,10.035711,-0.12307072,1.4976244,-0.07972536,1.876185305381553,0.9933170686429958,2.8658238270253076
